epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,199.432,1.82213,2.5258,1.94725,0.35239,0.35496,0.31276,0.11827,2.05747,2.43737,2.32362,0.00066623,0.00066623,0.00066623
2,378.83,1.8338,1.83569,2.00949,0.66489,0.53416,0.60458,0.29008,1.83989,1.62054,1.98996,0.00120094,0.00120094,0.00120094
3,556.435,1.7571,1.67884,1.93726,0.65309,0.56007,0.61283,0.30519,1.75631,1.55717,1.93584,0.00160365,0.00160365,0.00160365
4,735.192,1.68592,1.52581,1.88287,0.70268,0.58587,0.6801,0.34636,1.70392,1.45571,1.86443,0.001406,0.001406,0.001406
5,943.046,1.62226,1.38846,1.82068,0.78517,0.64486,0.7446,0.39342,1.62467,1.28895,1.80161,0.001208,0.001208,0.001208
6,1142.03,1.57233,1.2795,1.76371,0.7859,0.68621,0.77053,0.42121,1.58276,1.22039,1.72544,0.00101,0.00101,0.00101
